Datetime Air_Temperature Relative_humidity WindSpeed Shortwaveradiation Precipitation Prec_lqd Prec_sld
"01-May-2000 00:00:00" 269.73 0.69 4.08 242.53 0 0 5.31465155839339e-09
"02-May-2000 00:00:00" 270.04 0.69 4.08 244.74 0 0 5.31465155839339e-09
"03-May-2000 00:00:00" 270.35 0.7 4.08 246.91 0 0 5.31465155839339e-09
"04-May-2000 00:00:00" 270.65 0.7 4.08 249.06 0 0 5.31465155839339e-09
"05-May-2000 00:00:00" 270.96 0.7 4.08 251.18 0 0 5.31465155839339e-09
"06-May-2000 00:00:00" 271.26 0.7 4.08 253.27 0 0 5.31465155839339e-09
"07-May-2000 00:00:00" 271.56 0.7 4.08 255.34 0 0 5.31465155839339e-09
"08-May-2000 00:00:00" 271.86 0.71 4.08 257.37 0 0 5.31465155839339e-09
"09-May-2000 00:00:00" 272.16 0.71 4.08 259.37 0 0 5.31465155839339e-09
"10-May-2000 00:00:00" 272.46 0.71 4.08 261.35 0 0 5.31465155839339e-09
"11-May-2000 00:00:00" 272.76 0.71 4.08 263.29 0 0 5.31465155839339e-09
"12-May-2000 00:00:00" 273.06 0.71 4.08 265.2 0 0 5.31465155839339e-09
"13-May-2000 00:00:00" 273.35 0.71 4.08 267.07 0 0 5.31465155839339e-09
"14-May-2000 00:00:00" 273.65 0.72 4.08 268.92 0 0 5.31465155839339e-09
"15-May-2000 00:00:00" 273.94 0.72 4.08 270.73 0 0 5.31465155839339e-09
"16-May-2000 00:00:00" 274.23 0.72 4.08 272.5 0 8.19721875433485e-09 0
"17-May-2000 00:00:00" 274.52 0.72 4.08 274.24 0 8.19721875433485e-09 0
"18-May-2000 00:00:00" 274.8 0.72 4.08 275.95 0 8.19721875433485e-09 0
"19-May-2000 00:00:00" 275.09 0.73 4.08 277.62 0 8.19721875433485e-09 0
"20-May-2000 00:00:00" 275.37 0.73 4.08 279.25 0 8.19721875433485e-09 0
"21-May-2000 00:00:00" 275.65 0.73 4.08 280.85 0 8.19721875433485e-09 0
"22-May-2000 00:00:00" 275.93 0.73 4.08 282.41 0 8.19721875433485e-09 0
"23-May-2000 00:00:00" 276.2 0.73 4.08 283.93 0 8.19721875433485e-09 0
"24-May-2000 00:00:00" 276.48 0.73 4.08 285.42 0 8.19721875433485e-09 0
"25-May-2000 00:00:00" 276.75 0.74 4.08 286.86 0 8.19721875433485e-09 0
"26-May-2000 00:00:00" 277.01 0.74 4.08 288.27 0 8.19721875433485e-09 0
"27-May-2000 00:00:00" 277.28 0.74 4.08 289.64 0 8.19721875433485e-09 0
"28-May-2000 00:00:00" 277.54 0.74 4.08 290.97 0 8.19721875433485e-09 0
"29-May-2000 00:00:00" 277.8 0.74 4.08 292.25 0 8.19721875433485e-09 0
"30-May-2000 00:00:00" 278.06 0.74 4.08 293.5 0 8.19721875433485e-09 0
"31-May-2000 00:00:00" 278.31 0.75 4.08 294.71 0 8.19721875433485e-09 0
"01-Jun-2000 00:00:00" 278.56 0.75 4.08 295.87 0 8.19721875433485e-09 0
"02-Jun-2000 00:00:00" 278.81 0.75 4.08 296.99 0 8.19721875433485e-09 0
"03-Jun-2000 00:00:00" 279.05 0.75 4.08 298.07 0 8.19721875433485e-09 0
"04-Jun-2000 00:00:00" 279.3 0.75 4.08 299.11 0 8.19721875433485e-09 0
"05-Jun-2000 00:00:00" 279.53 0.76 4.08 300.11 0 8.19721875433485e-09 0
"06-Jun-2000 00:00:00" 279.77 0.76 4.08 301.06 0 8.19721875433485e-09 0
"07-Jun-2000 00:00:00" 280 0.76 4.08 301.97 0 8.19721875433485e-09 0
"08-Jun-2000 00:00:00" 280.23 0.76 4.08 302.84 0 8.19721875433485e-09 0
"09-Jun-2000 00:00:00" 280.45 0.76 4.08 303.66 0 8.19721875433485e-09 0
"10-Jun-2000 00:00:00" 280.67 0.76 4.08 304.44 0 8.19721875433485e-09 0
"11-Jun-2000 00:00:00" 280.89 0.77 4.08 305.18 0 8.19721875433485e-09 0
"12-Jun-2000 00:00:00" 281.1 0.77 4.08 305.87 0 8.19721875433485e-09 0
"13-Jun-2000 00:00:00" 281.31 0.77 4.08 306.51 0 8.19721875433485e-09 0
"14-Jun-2000 00:00:00" 281.51 0.77 4.08 307.11 0 8.19721875433485e-09 0
"15-Jun-2000 00:00:00" 281.71 0.77 4.08 307.67 0 8.19721875433485e-09 0
"16-Jun-2000 00:00:00" 281.91 0.77 4.08 308.18 0 8.19721875433485e-09 0
"17-Jun-2000 00:00:00" 282.1 0.78 4.08 308.65 0 8.19721875433485e-09 0
"18-Jun-2000 00:00:00" 282.29 0.78 4.08 309.07 0 8.19721875433485e-09 0
"19-Jun-2000 00:00:00" 282.48 0.78 4.08 309.44 0 8.19721875433485e-09 0
"20-Jun-2000 00:00:00" 282.66 0.78 4.08 309.77 0 8.19721875433485e-09 0
"21-Jun-2000 00:00:00" 282.83 0.78 4.08 310.05 0 8.19721875433485e-09 0
"22-Jun-2000 00:00:00" 283 0.78 4.08 310.29 0 8.19721875433485e-09 0
"23-Jun-2000 00:00:00" 283.17 0.78 4.08 310.48 0 8.19721875433485e-09 0
"24-Jun-2000 00:00:00" 283.33 0.79 4.08 310.63 0 8.19721875433485e-09 0
"25-Jun-2000 00:00:00" 283.49 0.79 4.08 310.73 0 8.19721875433485e-09 0
"26-Jun-2000 00:00:00" 283.64 0.79 4.08 310.78 0 8.19721875433485e-09 0
"27-Jun-2000 00:00:00" 283.79 0.79 4.08 310.79 0 8.19721875433485e-09 0
"28-Jun-2000 00:00:00" 283.93 0.79 4.08 310.75 0 8.19721875433485e-09 0
"29-Jun-2000 00:00:00" 284.07 0.79 4.08 310.66 0 8.19721875433485e-09 0
